,finish,club_name,age,sex,year,og_name,squad,tie,club_short,club_id,club_zone,loc,state
1475,68,TROJAN WATER POLO,14,Boys,2017,TROJAN WATER POLO GOLD (B),B,0.0,TROJAN CA,87,Coastal California Zone,"W 34th St1026 West 34th St, Los Angeles, CA 90089",CA
1476,68,PRAETORIAN WATER POLO,16,Boys,2017,PRAETORIAN WATER POLO A,A,0.0,PRAETORIAN,21194,Central California Zone,"5550 N First Ave, Fresno, CA 93710",CA
1477,69,NAVY AQUATIC,12,Boys,2017,NAVY AQUATIC,A,0.0,NAVY,200,Northeast Zone,"121 Blake Rd, Annapolis, MD 21402",MD
1478,69,SOUTH COAST,14,Boys,2017,SOUTH COAST,A,0.0,SOUTH COAST,35,Coastal California Zone,"60 W Olson Rd3400thousand Oaks, C, Thousand Oaks, CA 91360",CA
1479,69,CDM AQUATICS,16,Boys,2017,CDM AQUATICS BLUE (A),A,0.0,CDM,26,Southern Pacific Zone,"2101 East Bluff Dr, Newport Beach, CA 92660",CA
1480,70,SANTA CRUZ WAXEM,12,Boys,2017,SANTA CRUZ WAXEM,A,0.0,SANTA CRUZ WAXEM,30099,Pacific Zone,"6500 Soquel Drive, Aptos, CA 95003",CA
1481,70,STANFORD,14,Boys,2017,STANFORD B,B,0.0,STANFORD,570,Pacific Zone,"Avery Aquatic Center, Stanford, CA 94305",CA
1482,70,NORTHWOOD HS,16,Boys,2017,NORTHWOOD RED (HS),A,0.0,NORTH IRVINE,1834,Southern Pacific Zone,"4515 Portola Pkwy, Irvine, CA 92620",CA
1483,71,NEWPORT BEACH WATER POLO INC,12,Boys,2017,"NEWPORT BEACH WATER POLO, INC. C",C,0.0,NEWPORT BEACH,20606,Southern Pacific Zone,"600 Irvine Ave, Newport Beach, CA 92663",CA
1484,71,NAVY AQUATIC,14,Boys,2017,NAVY AQUATIC,A,0.0,NAVY,200,Northeast Zone,"121 Blake Rd, Annapolis, MD 21402",MD
1485,71,CC UNITED,16,Boys,2017,CC UNITED BLUE (B),B,0.0,CC UNITED,19137,Pacific Zone,"300 Moraga Road, Moraga, CA 94556",CA
1486,72,LAMORINDA,12,Boys,2017,LAMORINDA GOLD (B),B,0.0,LAMORINDA,1309,Pacific Zone,"1200 Pleasant Hill Road, Lafayette, CA 94549",CA
1487,72,WEST VALLEY WATER POLO,14,Boys,2017,WEST VALLEY WATER POLO RED (A),A,0.0,WEST VALLEY,23,Pacific Zone,"35353 Truman Ave, Mountain View, CA 94040",CA
1488,72,SAN JOSE EXPRESS WATER POLO,16,Boys,2017,SAN JOSE EXPRESS WATER POLO,A,0.0,SAN JOSE EXPRESS,25911,Pacific Zone,"500 Saratoga Ave, San Jose, CA 95130",CA
1489,73,SHAQ,14,Boys,2017,SHAQ A,A,0.0,SLEEPY HOLLOW,18329,Pacific Zone,"1327 Sir Francis Drake Blvd, San Anselmo, CA 94960",CA
1490,73,WESTSIDE AQUATICS,16,Boys,2017,WESTSIDE AQUATICS,A,0.0,WESTSIDE,19491,Coastal California Zone,"15777 Bowdoin St, Pacific Palisades, CA 90272",CA
1491,74,680,14,Boys,2017,680 BLUE B,B,0.0,680,37,Pacific Zone,"1460 S Main St, Walnut Creek, CA 94596",CA
1492,74,SOCAL,16,Boys,2017,SOCAL GOLD (B),B,0.0,SOCAL,51,Southern Pacific Zone,"1925 Dodge Ave, Santa Ana, CA 92705",CA
1493,75,OCWPC,14,Boys,2017,OCWPC RED (B),B,0.0,ORANGE COUNTY,17818,Southern Pacific Zone,"33333 Golden Lantern, Dana Point, CA 92629",CA
1494,75,SANTA CRUZ WAXEM,16,Boys,2017,SANTA CRUZ WAXEM,A,0.0,SANTA CRUZ WAXEM,30099,Pacific Zone,"6500 Soquel Drive, Aptos, CA 95003",CA
1495,76,PV WATER POLO CLUB,14,Boys,2017,P.V. WATER POLO CLUB BLUE (B),B,0.0,PV,17088,Coastal California Zone,"600 Cloyden Road, Palos Verdes Estates, CA 90274",CA
1496,76,SOUTH VALLEY WATER POLO,16,Boys,2017,SOUTH VALLEY WATER POLO,A,0.0,SOUTH VALLEY,17247,Central California Zone,"5100 W Akers, Visalia, CA 93277",CA
1497,77,NEWPORT BEACH WATER POLO INC,14,Boys,2017,"NEWPORT BEACH WATER POLO, INC. B",B,0.0,NEWPORT BEACH,20606,Southern Pacific Zone,"600 Irvine Ave, Newport Beach, CA 92663",CA
1498,77,CAPITAL DC WATER POLO CLUB,16,Boys,2017,CAPITAL DC WATER POLO CLUB,A,0.0,CAPITAL DC,30226,Northeast Zone,"1301 North Stafford Street, Arlington, VA 22201",VA
1499,78,SOUTH VALLEY WATER POLO,14,Boys,2017,SOUTH VALLEY WATER POLO A,A,0.0,SOUTH VALLEY,17247,Central California Zone,"5100 W Akers, Visalia, CA 93277",CA
1500,78,PUGET SOUND POLO,16,Boys,2017,PUGET SOUND POLO,A,0.0,PUGET SOUND,64,Pacific Northwest & Hawaii Zone,"8805 40th St W, University Place, WA 98466",WA
1501,79,SHORE AQUATICS,14,Boys,2017,SHORE AQUATICS BLACK (B),B,0.0,SHORE,892,Coastal California Zone,"1250 Bellflower Blvd, Long Beach, CA 90840",CA
1502,79,NAVY AQUATIC,16,Boys,2017,NAVY AQUATIC,A,0.0,NAVY,200,Northeast Zone,"121 Blake Rd, Annapolis, MD 21402",MD
1503,80,BIG VALLEY,14,Boys,2017,BIG VALLEY,A,0.0,UNIVERSITY PACIFIC,29,Central California Zone,"5648 North El Dorado Street, Stockton, CA 95207",CA
1504,80,ROSE BOWL,16,Boys,2017,ROSE BOWL RED (A),A,0.0,ROSE BOWL,341,Coastal California Zone,"360 N Arroyo Boulevard, Pasadena, CA 91103",CA
1505,81,DEL MAR WATER POLO,14,Boys,2017,DEL MAR WATER POLO B,B,0.0,DEL MAR,18227,Pacific Southwest Zone,"5555 Del Mar Heights Rd, San Diego, CA 92130",CA
